STFIPS,STATE,COUNTY,Population change 1910-1920,Population change 1920-1930,Population change 1930-1940,Population change 1940-1950,Population change 1950-1960,Population change 1960-1970,Population change 1970-1980,Population change 1980-1990,Population change 1990-2000,Population change 2000-2010
2013,Alaska,Aleutians East,under 500,under 500,under 500,under 500,608,under 500,under 500,846,under 500,under 500
2016,Alaska,Aleutians West,under 500,under 500,under 500,"1,579","2,326","1,585",under 500,"3,285","-4,013",under 500
2020,Alaska,Anchorage,"-2,620",under 500,"2,081","28,088","41,364","41,709","49,889","51,907","33,945","31,543"
2050,Alaska,Bethel,under 500,under 500,under 500,"1,351","3,095","1,990","2,389","2,657","2,390",967
2060,Alaska,Bristol Bay,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500
2068,Alaska,Denali,under 500,under 500,under 500,under 500,674,under 500,under 500,under 500,under 500,under 500
2070,Alaska,Dillingham,under 500,under 500,under 500,759,"1,145",under 500,601,782,910,under 500
2090,Alaska,Fairbanks North Star,"-4,846","1,440","1,824","8,723","19,559","6,097","8,119","23,737","5,120","14,741"
2100,Alaska,Haines,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500
2105,Alaska,Hoonah-Angoon Census Area,under 500,under 500,under 500,under 500,under 500,under 500,546,598,under 500,under 500
2110,Alaska,Juneau,569,under 500,"1,547",772,"1,876","4,349","5,988","7,231","3,920",564
2122,Alaska,Kenai Peninsula,under 500,under 500,under 500,"3,071","4,523","7,529","8,696","15,520","8,889","5,709"
2130,Alaska,Ketchikan Gateway,541,under 500,"1,468",733,"1,781","1,440","1,213","2,570",under 500,-589
2150,Alaska,Kodiak Island,under 500,under 500,under 500,"2,428","3,575","2,250",530,"3,370",604,under 500
2164,Alaska,Lake And Peninsula,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500
2170,Alaska,Matanuska-Susitna,under 500,under 500,under 500,"1,761","2,594","1,314","11,307","21,867","19,639","29,673"
2180,Alaska,Nome,-512,under 500,667,under 500,"1,231",under 500,920,"1,751",908,under 500
2185,Alaska,North Slope,under 500,under 500,under 500,under 500,559,570,989,"1,981","1,406","2,045"
2188,Alaska,Northwest Arctic,under 500,under 500,under 500,under 500,725,832,741,"1,081","1,095",under 500
2195,Alaska,Petersburg Census Area,under 500,under 500,under 500,under 500,536,under 500,815,555,under 500,under 500
2198,Alaska,Prince of Wales-Hyder Census Area,under 500,under 500,515,under 500,625,548,under 500,"2,392",under 500,-567
2220,Alaska,Sitka,under 500,under 500,"1,101",549,"1,335",under 500,"1,694",785,under 500,under 500
2230,Alaska,Skagway Municipality,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500
2240,Alaska,Southeast Fairbanks,under 500,under 500,under 500,928,"1,917",558,"1,202",under 500,under 500,855
2261,Alaska,Valdez-Cordova,under 500,under 500,under 500,"1,583","2,332",under 500,"3,326","1,602",under 500,-559
2270,Alaska,Wade Hampton,under 500,under 500,under 500,under 500,682,763,660,"1,126","1,237",under 500
2275,Alaska,Wrangell City and Borough,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500
2282,Alaska,Yakutat,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500,under 500
2290,Alaska,Yukon-Koyukuk,-607,under 500,under 500,"1,080","2,437",523,728,under 500,under 500,-922
6001,California,Alameda,"98,023","130,676","38,119","227,252","167,855","165,185","32,195","173,803","164,562","66,527"
6003,California,Alpine,under 500,under 500,under 500,under 500,under 500,under 500,613,under 500,under 500,under 500
6005,California,Amador,"-1,293",701,under 500,under 500,839,"1,831","7,493","10,725","5,061","2,991"
6007,California,Butte,"2,729","4,063","8,747","22,088","17,100","19,939","41,882","38,269","21,051","16,829"
6009,California,Calaveras,"-2,988",under 500,"2,213","1,681",under 500,"3,296","7,125","11,288","8,556","5,024"
6011,California,Colusa,"1,558",968,under 500,"1,863",under 500,under 500,under 500,"3,484","2,529","2,615"
6013,California,Contra Costa,"22,215","24,719","21,842","198,534","110,046","149,359","97,991","147,352","145,085","100,208"
6015,California,Del Norte,under 500,"1,980",under 500,"3,333","9,693","-3,191","3,637","5,243","4,047","1,103"
6017,California,El Dorado,"-1,066","1,899","4,904","2,978","13,183","14,443","41,979","40,183","30,304","24,759"
6019,California,Fresno,"53,122","15,600","34,186","97,950","89,430","47,108","101,568","152,869","131,331","131,629"
6021,California,Glenn,"4,681",-918,"1,260","3,253","1,797",under 500,"3,829","3,448","1,655","1,669"
6023,California,Humboldt,"3,556","5,820","2,579","23,429","35,651","-5,200","8,822","10,604","7,400","8,105"
6025,California,Imperial,"29,862","17,450","-1,163","3,235","9,130","2,387","17,618","17,193","33,058","32,167"
6027,California,Inyo,under 500,under 500,"1,070","4,033",under 500,"3,887","2,324",under 500,under 500,601
6029,California,Kern,"17,101","27,666","52,554","93,188","63,681","37,165","73,927","140,388","118,172","177,982"
6031,California,Kings,"5,801","3,354","9,783","11,600","3,186","14,656","9,128","27,731","27,992","23,521"
6033,California,Lake,under 500,"1,764",903,"3,412","2,305","5,762","16,818","14,265","7,678","6,356"
6035,California,Lassen,"3,705","4,082","1,890","3,995","-4,877","1,363","6,701","5,937","6,230","1,067"
6037,California,Los Angeles,"432,324","1,272,037","577,151","1,366,044","1,887,084","993,304","445,428","1,385,661","656,167","299,274"
6039,California,Madera,"3,835","4,961","6,150","13,650","3,504","1,051","21,597","24,974","35,019","27,756"
6041,California,Marin,"2,228","14,303","11,257","32,706","61,190","59,245","16,530","7,528","17,193","5,120"
6043,California,Mariposa,"-1,181",under 500,"2,372",under 500,under 500,951,"5,093","3,194","2,828","1,121"
6045,California,Mendocino,under 500,-611,"4,359","12,990","10,205",under 500,"15,637","13,607","5,918","1,578"
6047,California,Merced,"9,431","12,169","10,240","22,792","20,666","14,183","29,931","43,843","32,729","44,661"
6049,California,Modoc,-766,"2,613",675,965,"-1,370",-839,"1,141","1,068",under 500,under 500
6051,California,Mono,"-1,082",under 500,939,under 500,under 500,"1,803","4,561","1,379","2,897","1,349"
6053,California,Monterey,"3,834","25,725","19,327","57,466","67,853","51,719","40,373","65,217","46,100","13,296"
6055,California,Napa,878,"2,219","5,606","18,100","19,287","13,250","20,059","11,566","13,514","12,205"
6057,California,Nevada,"-4,105",under 500,"8,687",605,"1,023","5,435","25,299","26,865","13,523","6,731"
6059,California,Orange,"26,939","57,299","12,086","85,464","487,701","716,461","512,323","477,847","435,741","163,935"
6061,California,Placer,under 500,"5,884","3,640","13,541","15,349","20,308","39,941","55,549","75,603","100,033"
6063,California,Plumas,under 500,"2,232","3,635","1,971","-1,899",under 500,"5,633","2,399","1,085",-817
6065,California,Riverside,"15,601","30,727","24,500","64,522","136,145","152,883","204,092","507,247","374,961","644,267"
6067,California,Sacramento,"23,223","50,970","28,334","106,807","225,638","128,720","151,883","257,838","182,278","195,291"
6069,California,San Benito,954,"2,316",under 500,"2,978","1,026","2,830","6,779","11,692","16,537","2,035"
6071,California,San Bernardino,"16,678","60,497","27,208","120,531","221,941","180,494","210,944","523,364","291,063","325,767"
6073,California,San Diego,"50,583","97,411","79,689","267,460","476,203","324,843","503,992","636,170","315,818","281,479"
6075,California,San Francisco,"89,787","127,751",under 500,"140,879","-34,991","-24,878","-36,700","44,985","52,772","28,504"
6077,California,San Joaquin,"29,174","23,035","31,267","66,543","49,239","40,219","57,134","133,286","82,975","121,703"
6079,California,San Luis Obispo,"2,510","7,720","3,633","18,171","29,627","24,646","49,745","61,727","29,519","22,956"
6081,California,San Mateo,"10,196","40,624","34,377","123,877","208,728","111,847","31,095","62,294","57,541","11,287"
6083,California,Santa Barbara,"13,359","24,070","5,388","27,665","70,742","95,362","34,370","70,914","29,748","24,539"
6085,California,Santa Clara,"17,137","44,442","29,831","115,598","351,768","422,399","230,357","202,520","184,993","99,058"
6087,California,Santa Cruz,under 500,"11,164","7,624","21,477","17,685","39,572","64,351","41,577","25,882","6,782"
6089,California,Shasta,"-5,559",566,"14,873","7,613","23,055","18,172","38,075","31,321","16,220","13,967"
6091,California,Sierra,"-2,315",639,603,-615,under 500,under 500,708,under 500,under 500,under 500
6093,California,Siskiyou,under 500,"6,935","3,118","2,135","2,152",under 500,"6,507","3,799",770,599
6095,California,Solano,"13,013",under 500,"8,265","55,587","29,696","35,263","65,112","105,759","54,124","18,799"
6097,California,Sonoma,"3,695","10,132","6,830","34,353","43,970","57,510","94,796","88,541","70,394","25,262"
6099,California,Stanislaus,"21,035","13,084","18,225","52,365","30,063","37,212","71,394","104,622","76,476","67,455"
6101,California,Sutter,"3,786","4,502","4,064","7,561","7,134","8,555","10,311","12,169","14,515","15,807"
6103,California,Tehama,"1,481",984,under 500,"4,962","6,029","4,212","9,371","10,737","6,414","7,424"
6105,California,Trinity,-750,under 500,"1,161","1,117","4,619","-2,091","4,243","1,205",under 500,764
6107,California,Tulare,"23,591","18,411","29,710","42,112","19,139","19,919","57,416","66,183","56,100","74,158"
6109,California,Tuolumne,"-2,211","1,503","1,616","1,697","1,820","7,765","11,759","14,528","6,048",861
6111,California,Ventura,"10,422","26,315","14,709","44,962","84,491","177,292","152,744","139,842","84,170","70,132"
6113,California,Yolo,"3,209","6,540","3,618","13,525","25,155","26,142","21,736","27,177","27,565","32,192"
6115,California,Yuba,under 500,957,"5,701","7,384","9,446","10,877","4,997","8,495","1,991","11,936"
21001,Kentucky,Adair,786,-888,"2,165",-963,"-2,904","-1,662","2,196",under 500,"1,884","1,412"
21003,Kentucky,Allen,"1,879","-1,581",under 500,"-1,709","-1,518",under 500,"1,530",500,"3,169","2,159"
21005,Kentucky,Anderson,under 500,"-1,488",under 500,under 500,under 500,740,"3,209","2,004","4,540","2,310"
21007,Kentucky,Ballard,-645,"-2,135",under 500,-935,under 500,under 500,522,-896,under 500,under 500
21009,Kentucky,Barren,under 500,under 500,"1,715",902,under 500,under 500,"5,332",under 500,"4,032","4,140"
21011,Kentucky,Bath,"-1,992",-921,under 500,"-1,041","-1,296",under 500,790,under 500,"1,402",under 500
